order,studio_name,city,telegram_url,status,sent_at,replied,studio_in_bot,slot_paid,note,draft_message
1,АСС,Новосибирск,https://t.me/photo_studio_nsk,отправлено,2026-09-05 08:24 MSK,,,,"Источник: acc-foto.ru, кнопка «Написать в Telegram» → @photo_studio_nsk; проверить глазами, что это ЛС студии.","Здравствуйте! Вижу, запись в АСС (почасовая аренда от 1 190 ₽) (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
2,Glory,Новосибирск,https://t.me/glory_studio,отправлено,2026-09-05 08:24 MSK,,,,"Источник: Taplink studio_glory, блок «Телеграм» → @glory_studio; проверить, что открывается личка, не канал.","Здравствуйте! Вижу, запись в Glory (аренда от 1000 ₽) (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
3,Promystory,Новосибирск,https://t.me/promystore,нет формы ЛС,,нельзя написать,,,"Источник: Taplink promystory, кликабельный TG-баннер → @promystore; проверить визуально ЛС и адрес.; username promystore — проверить что студия; нет формы для сообщения","Здравствуйте! Вижу, запись в Promystory (Красный проспект 17 / Горького 66) (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
4,Studio 2799,Новосибирск,https://t.me/foto2799studio,нет формы ЛС,,нельзя написать,,,"Источник: Taplink service2799, соцссылка TG → @foto2799studio; проверить, что username студии принимает ЛС.; нет формы для сообщения","Здравствуйте! Вижу, запись в Studio 2799 (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
5,Main,Новосибирск,https://t.me/dailymain,нет формы ЛС,,нельзя написать,,,Источник: карточка NVB «Main в Telegram.me: dailymain»; проверить ЛС и число залов перед отправкой.; username dailymain — проверить что студия; нет формы для сообщения,"Здравствуйте! Вижу, запись в Main (Добролюбова 31) (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
6,Verba 2.0,Новосибирск,https://t.me/verba_std,нет формы ЛС,,нельзя написать,,,"Источник: карточка NVB «Verba 2.0 в Telegram.me: verba_std»; проверить, что это студия/админ, не канал.; username verba_std — проверить что студия; нет формы для сообщения","Здравствуйте! Вижу, запись в Verba 2.0 (Кирова 82) (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
7,Втопе,Новосибирск,https://t.me/vtope_studio_nsk,отправлено,2026-09-05 08:24 MSK,,,,Источник: карточка NVB «Втопе в Telegram.me: vtope_studio_nsk»; визуально проверить ЛС и признак почасовой аренды.,"Здравствуйте! Вижу, запись в Втопе (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
8,In dk studio,Новосибирск,https://t.me/domskolesom,не студия,,личный аккаунт,,,"Источник: карточка NVB «In dk studio в Telegram.me: domskolesom»; проверить, что username относится к студии/админу.; username domskolesom — проверить что студия; domskolesom — не студия","Здравствуйте! Вижу, запись в In dk studio (Большевистская 12Б) (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
9,Fashion Box Новосибирск,Новосибирск,https://t.me/fashionboxbotbot,отправлено,2026-09-05 08:30 MSK,,,,Swarm: сеть; бот @fashionboxbotbot — проверить что можно написать,"Здравствуйте! Вижу, запись в Fashion Box Новосибирск (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
10,Domik photo,Новосибирск,https://t.me/domik_photo,нет формы ЛС,,нельзя написать,,,Swarm: канал без ЛС — проверить форму; если нет — skip; канал без формы ЛС,"Здравствуйте! Вижу, запись в Domik photo (Новосибирск) идёт через Telegram / переписку.\n\nСделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.\n\nНе CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.\nТарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot\nКоротко на сайте: https://studiobook.com.ru\n\nЕсли не актуально — напишите, больше не потревожу."
