order,studio_name,city,telegram_url,first_sent,status,sent_at,replied,note,followup_message
1,JL Studio,Москва,https://t.me/studio_jl,2026-09-03,отправлено,2026-09-17 10:13,,1–3 зала; перед отправкой сверить со своей воронкой и что сс; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
2,LO/ST Pravda,Москва,https://t.me/lostpravda,2026-09-03,отправлено,2026-09-17 10:13,,1–3 зала; перед отправкой сверить со своей воронкой и что сс; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
3,LiveStudio.moscow на Дмитровской,Москва,https://t.me/livestudiomoscow,2026-09-03,отправлено,2026-09-17 10:13,,1–3 зала; перед отправкой сверить со своей воронкой и что сс; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
4,Transform.studio,Москва,https://t.me/transformstudi0,2026-09-03,нет ЛС,,,нет ЛС — follow-up невозможен,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
5,Фотостудия Люче,Москва,https://t.me/lucestudioru,2026-09-03,отправлено,2026-09-17 10:13,,1–3 зала; перед отправкой сверить со своей воронкой и что сс; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
6,4art studio,Москва,https://t.me/studio_4art,2026-09-04,отправлено,2026-09-17 10:13,,1 зал — приоритет; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
7,Diamond Studios,Москва,https://t.me/diamondstudios_ru,2026-09-04,отправлено,2026-09-17 10:13,,3 зала; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
8,NEW ART studio,Москва,https://t.me/michaelkonovproduction,2026-09-04,нет в ТГ,,,аккаунт/чат не найден в ТГ,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
9,Platon studio,Москва,https://t.me/splatonoff,2026-09-04,отправлено,2026-09-17 10:13,,username splatonoff — проверить что студия; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
10,instory.studio,Москва,https://t.me/Instoryvideo,2026-09-04,отправлено,2026-09-17 10:13,,3 зала; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
11,ФОТО ЗАЛ,Москва,https://t.me/photo_zall,2026-09-04,отправлено,2026-09-17 10:13,,вчера отложили из‑за С9; wave1 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
