order,batch,studio_name,city,telegram_url,first_sent,due,status,sent_at,replied,note,followup_message
1,A,Central Frames | Хамовники,Москва,https://t.me/centralframes,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Москва + Новосибирск; 5 залов; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
2,A,PINK PHOTO STUDIO,Москва,https://t.me/pink_photostudio,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Москва + Новосибирск; 5 залов — крупнее обычного; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
3,A,PRIME studios,Москва,https://t.me/primestudiosmoscow,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Москва + Новосибирск; 4 зала; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
4,A,С9 Студия,Москва,https://t.me/c9studio,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Москва + Новосибирск; уже онлайн-бронь на сайте — текст про Telegram-канал; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
5,A,Fashion Box Новосибирск,Новосибирск,https://t.me/fashionboxbotbot,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Москва + Новосибирск; Swarm: сеть; бот @fashionboxbotbot — проверить что можно написать; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
6,A,Glory,Новосибирск,https://t.me/glory_studio,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,"wave2 Москва + Новосибирск; Источник: Taplink studio_glory, блок «Телеграм» → @glory_studio; проверить, что; wave2 follow-up sent","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
7,A,АСС,Новосибирск,https://t.me/photo_studio_nsk,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,"wave2 Москва + Новосибирск; Источник: acc-foto.ru, кнопка «Написать в Telegram» → @photo_studio_nsk; провери; wave2 follow-up sent","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
8,A,Втопе,Новосибирск,https://t.me/vtope_studio_nsk,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Москва + Новосибирск; Источник: карточка NVB «Втопе в Telegram.me: vtope_studio_nsk»; визуально провер; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
9,B,DREAM STUDIO,Санкт-Петербург,https://t.me/dreamadminst,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Санкт-Петербург; админ брони из канала @dreamstudiospb — проверить что личка; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
10,B,EXPOSIA,Санкт-Петербург,https://t.me/exposiaa,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Санкт-Петербург; studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidenc; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
