date_batch,studio_name,city,catalog_url,telegram_url,skip_reason,send_today,draft_message,note_for_human
2026-09-05,SPBFOTO,Санкт-Петербург,https://www.studiorent.ru/studios/149093/,https://t.me/spbfotocom,,да,"Здравствуйте! Вижу, запись в SPBFOTO (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidence: 0%B7%D0%B0%D0%BB+SPBFOTO+https%3A%2F%2Fwww.studiorent.ru%2Fstudios%2F149093%2F""> <i class=""fa fa-whatsapp fa-2x text-success me-2"" aria-hidden=""true""></i> </a> <a href="""
2026-09-05,Fiji Studio,Санкт-Петербург,https://www.studiorent.ru/studios/185398/,https://t.me/FijiStudio,,да,"Здравствуйте! Вижу, запись в Fiji Studio (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 1; Telegram из блока связи с предзаполненным текстом; evidence: %D0%B0%D0%BB+Fiji+Studio+https%3A%2F%2Fwww.studiorent.ru%2Fstudios%2F185398%2F""> <i class=""fa fa-whatsapp fa-2x text-success me-2"" aria-hidden=""true""></i> </a> <a href="""
2026-09-05,SHOT&STORY,Санкт-Петербург,https://www.studiorent.ru/studios/200803/,https://t.me/shotandstory,,да,"Здравствуйте! Вижу, запись в SHOT&STORY (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidence: D0%BB+SHOT%26amp%3BSTORY+https%3A%2F%2Fwww.studiorent.ru%2Fstudios%2F200803%2F""> <i class=""fa fa-whatsapp fa-2x text-success me-2"" aria-hidden=""true""></i> </a> <a href="""
2026-09-05,Две Дорожки,Санкт-Петербург,https://www.studiorent.ru/studios/183286/,https://t.me/dvedorozhki,,да,"Здравствуйте! Вижу, запись в Две Дорожки (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 1; Telegram из блока связи с предзаполненным текстом; evidence: /spb/studios/?raion_spb[]=1097"">Адмиралтейский</a></span> </li> <li><i class=""fa-li fa fa-clock-o""></i> с 10 до 21</li></ul> Быстрая связь <div class=mt-2> <a href="""
2026-09-05,lenina33apt,Санкт-Петербург,https://www.studiorent.ru/studios/174998/,https://t.me/lenina33apt,,да,"Здравствуйте! Вижу, запись в lenina33apt (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidence: %D0%B0%D0%BB+lenina33apt+https%3A%2F%2Fwww.studiorent.ru%2Fstudios%2F174998%2F""> <i class=""fa fa-whatsapp fa-2x text-success me-2"" aria-hidden=""true""></i> </a> <a href="""
2026-09-05,ONEONE STUDIO,Санкт-Петербург,https://www.studiorent.ru/studios/182816/,https://t.me/ONEONE_SPB,,да,"Здравствуйте! Вижу, запись в ONEONE STUDIO (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 3; Telegram из блока связи с предзаполненным текстом; evidence: 0%B0%D0%BB+ONEONE+STUDIO+https%3A%2F%2Fwww.studiorent.ru%2Fstudios%2F182816%2F""> <i class=""fa fa-whatsapp fa-2x text-success me-2"" aria-hidden=""true""></i> </a> <a href="""
2026-09-05,EXPOSIA,Санкт-Петербург,https://www.studiorent.ru/studios/181745/,https://t.me/exposiaa,,да,"Здравствуйте! Вижу, запись в EXPOSIA (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidence: 0%B7%D0%B0%D0%BB+EXPOSIA+https%3A%2F%2Fwww.studiorent.ru%2Fstudios%2F181745%2F""> <i class=""fa fa-whatsapp fa-2x text-success me-2"" aria-hidden=""true""></i> </a> <a href="""
2026-09-05,VIDEOROOM,Санкт-Петербург,https://www.studiorent.ru/studios/136737/,https://t.me/videoroom_pro,,да,"Здравствуйте! Вижу, запись в VIDEOROOM (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidence: B7%D0%B0%D0%BB+VIDEOROOM+https%3A%2F%2Fwww.studiorent.ru%2Fstudios%2F136737%2F""> <i class=""fa fa-whatsapp fa-2x text-success me-2"" aria-hidden=""true""></i> </a> <a href="""
2026-09-05,Точка,Санкт-Петербург,https://www.studiorent.ru/studios/122253/,https://t.me/fotochkaspb,,да,"Здравствуйте! Вижу, запись в Точка (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 3; Telegram из блока связи с предзаполненным текстом; evidence:  href=""/spb/studios/?raion_spb[]=1108"">Невский</a></span> </li> <li><i class=""fa-li fa fa-clock-o""></i> с 10 до 22</li></ul> Быстрая связь <div class=mt-2> <a href="""
2026-09-05,Cast Room,Санкт-Петербург,https://www.studiorent.ru/studios/209839/,https://t.me/castrooms,,да,"Здравствуйте! Вижу, запись в Cast Room (СПб) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент по одной ссылке выбирает слот, вносит предоплату, неоплаченный слот сгорает, напоминание за 24 ч и за 2 ч.

Не CRM и не виджет. За вечер: название, зал, часы, цена — сразу ссылка и QR.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","studiorent; залов: 1; Telegram из блока связи с предзаполненным текстом; evidence:  <a href=""/spb/"">Санкт-Петербург</a>, <a href=""/spb/studios/?raion_spb[]=1100"">Калининский</a></span> </li> </ul> Быстрая связь <div class=mt-2> <a href="""
